Depth;Sus;Cond;Auppm;Sperc
1947;0.146670565;0.088136089;0;0
1947.5;0.346352974;0.462397998;0;0
1948;0.642958879;0.939519253;0;0
1948.5;0.418301291;0.494850022;0;0
1949;0.105680463;0.410777233;0;0
1949.5;0.169674434;0.243038049;0;0
1950;0.188506634;0.236789099;0;0
1950.5;0.169674434;0.161368002;0;0
1951;0.08323379;0.16879202;0;0
1951.5;0.225115357;0.161368002;0;0
1952;0.084576278;0.079181246;0;0
1952.5;0.182984967;0.153814864;0;0
1953;0.067349876;0;0;0
1953.5;0.156473431;0.130333768;0;0
1954;0.064177105;0.021189299;0;0
1954.5;0.201601932;0.113943352;0;0
1955;0.104828404;0;0;0
1955.5;0.186603222;0.249198357;0;0
1956;0.197349488;0.122215878;0;0
1956.5;0.184904268;0.16879202;0;0
1957;0.08857902;0;0;0
1960;0.192149125;0.230448921;0;0
1960.5;0.127995161;0.380211242;0;0
1961;0.219388028;0.494850022;0;0
1961.5;0.351022853;0.742332282;0;0
1962;0.196176185;0.356981401;0;0
1962.5;0.183767929;0.031408464;0;0
1963;0.140508043;0.041392685;0;0
1963.5;0.084933575;0.010723865;0.010723865;0.002166062
1964;0.108057374;0.261262869;0.010723865;0.002166062
1964.5;0.026533265;0.06069784;0.010723865;0.002166062
1965;0.020464871;0.070037867;0.010723865;0.002166062
1965.5;0.14504094;0.197280558;0.010723865;0.002166062
1966;0.076913385;0.096910013;0.010723865;0.002166062
1966.5;0.116939647;0.204119983;0.010723865;0.021189299
1967;0.120573931;0.261262869;0.010723865;0.021189299
1967.5;0.028672901;0.183269844;0.010723865;0.008600172
1968;0.036229544;0.070037867;0.010723865;0.008600172
1968.5;0.016092742;0.306425028;0.010723865;0.025305865
1969;0.135212185;0.230448921;0.010723865;0.025305865
1969.5;0.054421524;0.021189299;0.010723865;0.021189299
1970;0.102519458;0.138302698;0.010723865;0.021189299
1970.5;0.170041578;0.16879202;0.010723865;0.053078443
1971;0.129609341;0.146128036;0.010723865;0.053078443
1971.5;0.171580202;0.197280558;0.010723865;0.021189299
1972;0.101661169;0.051152522;0.010723865;0.021189299
1972.5;0.050862896;0.06069784;0.010723865;0.017033339
1973;0.134495856;0.176091259;0.010723865;0.017033339
1973.5;0.130896378;0.105510185;0.010723865;0.012837225
1974;0.09734409;0.146128036;0.010723865;0.012837225
1974.5;0.093771781;0.041392685;0.010723865;0.037426498
1975;0.171726454;0.130333768;0.010723865;0.037426498
1975.5;0.293583513;0.33243846;0.010723865;0.037426498
1976;0.283583881;0.352182518;0.010723865;0.037426498
1976.5;0.244524512;0.261262869;0.010723865;0.037426498
1977;0.277379975;0.342422681;0.010723865;0.037426498
1977.5;0.239987297;0.565257343;0.010723865;0.037426498
1978;0.195622944;0.130333768;0.010723865;0.037426498
1978.5;0.153357471;0.243038049;0.010723865;0.037426498
1979;0.155943018;0.33243846;0.010723865;0.037426498
1979.5;0.200713734;0.249198357;0.010723865;0.037426498
1980;0.20971603;0.342422681;0.010723865;0.037426498
1980.5;0.1557155;0.301029996;0.010723865;0.037426498
1981;0.201465404;0.443262987;0.010723865;0.037426498
1981.5;0.138223728;0.290034611;0.010723865;0.037426498
1982;0.169233451;0.402261382;0.010723865;0.037426498
1982.5;0.185754576;0.16879202;0.010723865;0.037426498
1983;0.190051418;0.278753601;0.010723865;0.037426498
1983.5;0.119585775;0.278753601;0.010723865;0.037426498
1984;0.188928484;0.041392685;0.010723865;0.037426498
1984.5;0.171945739;0.33243846;0.010723865;0.037426498
1985;0.177464352;0.236789099;0.010723865;0.037426498
1985.5;0.164129702;0.278753601;0.010723865;0.037426498
1986;0.18532963;0.236789099;0.010723865;0.037426498
1986.5;0.199892244;0;0.010723865;0.037426498
1987;0.206623518;0.153814864;0.010723865;0.037426498
1987.5;0.187943529;0.273001272;0.010723865;0.037426498
1988;0.16952749;0.113943352;0.010723865;0.037426498
1988.5;0.113776284;0.070037867;0.010723865;0.037426498
1989;0.196728723;0.138302698;0.010723865;0.037426498
1989.5;0.191590726;0.249198357;0.010723865;0.037426498
1990;0.124014879;0.190331698;0.010723865;0.037426498
1990.5;0.052405342;0.051152522;0.010723865;0.037426498
1991;0.182628608;0.153814864;0.010723865;0.017033339
1991.5;0.352182518;0.571126277;0.010723865;0.017033339
1992;0.01125317;0.041392685;0.021189299;0.06069784
1992.5;0.873029812;1.644930708;0.021189299;0.06069784
1993;0.245697697;0.375663614;0.033423755;0.093421685
1993.5;0.872884344;1.395763089;0.033423755;0.093421685
1994;0.667686382;1.063521;0.033423755;0.093421685
1994.5;0.173113394;0.041392685;0.033423755;0.093421685
1995;0.203168923;0.236789099;0.033423755;0.093421685
1995.5;0.701783784;1.039414119;0.033423755;0.093421685
1996;0.393575203;0.528273777;0.033423755;0.093421685
1996.5;0.464638559;0.62324929;0.033423755;0.093421685
1997;0.374748346;0.361727836;0.033423755;0.093421685
1997.5;0.364550995;0.477121255;0.033423755;0.093421685
1998;0.495544338;0.618048097;0.033423755;0.093421685
1998.5;0.226986346;0.204119983;0.033423755;0.093421685
1999;0.230959556;0.267171728;0.033423755;0.093421685
1999.5;0.204052119;0.284430734;0.033423755;0.093421685
2000;0.790285164;1.165095875;0.033423755;0.093421685
2000.5;0.303627976;0.088136089;0.033423755;0.093421685
2001;0.442871555;0.508529719;0.033423755;0.093421685
2001.5;0.194375567;0.267171728;0.033423755;0.093421685
2002;0.26245109;0.397940009;0.033423755;0.093421685
2002.5;0.746634199;1.161368002;0.033423755;0.093421685
2003;0.08857902;0.146128036;0.033423755;0.093421685
2003.5;0.90539107;1.457503427;0.033423755;0.093421685
2004;0.217088951;0.2955671;0.033423755;0.093421685
2004.5;0.082426301;0.306425028;0.010723865;0.004321374
2005;0.169453999;0.138302698;0.010723865;0.004321374
2005.5;0.614633608;1.127914294;0.010723865;0.049218023
2006;0.563777633;1.042378598;0.010723865;0.049218023
2006.5;0.044245689;0.210853365;0.025305865;0.002166062
2007;0.158814647;0.010723865;0.025305865;0.002166062
2007.5;0.259713305;0.505149978;0.093421685;0.120573931
2008;0.743509765;1.218141468;0.093421685;0.120573931
2008.5;0.831549852;1.57921178;0.127104798;0.064457989
2009;0.34532471;0.65079304;0.127104798;0.064457989
2009.5;0.524396122;0.974281359;0.481442629;0.089905111
2010;0.63973544;1.159115822;0.481442629;0.089905111
2010.5;0.600972896;1.178976947;0.413299764;0.133538908
2011;0.540329475;0.973474227;0.413299764;0.133538908
2011.5;0.609594409;1.086359831;0.303196057;0.309630167
2012;0.660628353;1.009663317;0.303196057;0.309630167
2012.5;0.824288582;1.590786124;0.721810615;0.176091259
2013;0.785685668;1.474216264;0.721810615;0.176091259
2013.5;0.269863041;0.447158031;0.990338855;0.367355921
2014;0.662757832;1.192428055;0.990338855;0.367355921
2014.5;1.081977046;1.627621851;0.269512944;0.021189299
2015;0.852022279;1.447545621;0.269512944;0.021189299
2015.5;0.38030171;0.65079304;0.269512944;0.021189299
2016;0.463146137;0.858837851;0.561101384;0.184691431
2016.5;0.393619069;0.858837851;0.561101384;0.184691431
2017;0.418467021;0.879382637;0.809559715;0.499687083
2017.5;0.576916956;1.118925753;0.025305865;0.021189299
2018;0.199618068;0.427323786;0.025305865;0.021189299
2018.5;0.374565061;0.678973376;0.193124598;0.31386722
2019;0.602059991;1.005395032;0.193124598;0.31386722
2019.5;0.225180008;0.384711743;0.037426498;0.004321374
2020;0.287129621;0.45484486;0.037426498;0.004321374
2020.5;0.440909082;0.8309093;0.029383778;0.017033339
2021;0.440909082;0.8309093;0.029383778;0.017033339
2021.5;0.440909082;0.8309093;0.010723865;0.002166062
2022;0.12303453;0.130333768;0.010723865;0.002166062
2022.5;0.127914294;0.230448921;0.117271296;0.11058971
2023;0.32888904;0.728353782;0.117271296;0.11058971
2024;0.635735002;1.284994387;1.903795143;1.431363764
2024.5;0.302817776;0.610127613;0.252853031;0.071882007
2025;0.299234826;0.667452953;0.190331698;0.187520721
2025.5;0.121313576;0.47348697;1.502290528;0.983175072
2026;0.335708576;0.599337133;1.502290528;0.983175072
2026.5;0.230065551;0.423245874;1.502290528;0.983175072
2027;0.231150889;0.864807629;1.472024698;1.204119983
2027.5;0.364832305;0.978864984;1.472024698;1.204119983
2028;1.101832962;1.779055089;0.267171728;0.252853031
2028.5;0.212786677;0.273001272;0.267171728;0.252853031
2029;0.244215251;0.427323786;0.010723865;0.002166062
2029.5;0.123606669;0.113943352;0.010723865;0.002166062
2030;0.248402441;0.540954809;0.010723865;0.002166062
2030.5;0.204662512;0.176091259;0.010723865;0.002166062
2031;0.353627759;0.726319612;0.029383778;0.021189299
2031.5;0.386498966;0.72427587;0.133538908;0.173186268
2032;0.420327134;0.769007871;0.133538908;0.173186268
2032.5;0.368333381;0.711807229;0.33243846;0.187520721
2033;0.559607421;1.005395032;0.33243846;0.187520721
2033.5;0.201738417;0.431363764;0.222716471;0.633468456
2034;0.126456113;0.423245874;0.06069784;0.521138084
2034.5;0.089728533;0.427323786;0.06069784;0.521138084
2035;0.267699603;0.51851394;0.093421685;0.673020907
2035.5;0.410777233;0.696793085;0.840106094;0.952792443
2036;0.281771722;0.837272703;1.380211242;1.028977705
2036.5;0.126780577;0.327358934;1.380211242;1.028977705
2037;0.711807229;1.760799312;1.354300562;1.176091259
2037.5;0.73379892;1.274157849;0.45484486;0.740362689
2038;0.271434991;0.547159121;0.720159303;0.940516485
2038.5;0.302979937;0.52179165;0.720159303;0.940516485
2039;0.295292143;0.62324929;0.292256071;0.698970004
2039.5;0.119668207;0.342422681;0.292256071;0.698970004
2040;0.430961453;0.701136066;0.326335861;0.738780558
2040.5;0.826560681;1.320146286;0.326335861;0.738780558
2041;0.397157574;0.352182518;0.113943352;0.029383778
2041.5;0.278924999;0.311753861;0.113943352;0.029383778
2042;0.218141468;0.431363764;0.010723865;0.002166062
2044.5;0.156170417;0.352182518;0.010723865;0.008600172
2045;0.312811826;0.599337133;0.010723865;0.008600172
2045.5;0.177103432;0.267171728;0.127104798;0.002166062
2046;0.449478399;0.837272703;0.127104798;0.002166062
2046.5;0.333296102;0.62065648;0.010723865;0.008600172
2047;0.339302344;0.550228353;0.010723865;0.004321374
2047.5;0.257198426;0.342422681;0.010723865;0.004321374
2048;0.259235402;0.278753601;0.010723865;0.002166062
2048.5;0.296500654;0.48784512;0.010723865;0.002166062
2049;0.164947373;0.255272505;0.010723865;0.002166062
2049.5;0.189700813;0.197280558;0.010723865;0.002166062
2050;0.194028437;0.380211242;0.010723865;0.004321374
2050.5;0.290201616;0.50174373;0.010723865;0.004321374
2051;0.120080134;0.197280558;0.010723865;0.002166062
2051.5;0.083771283;0.130333768;0.010723865;0.002166062
2052;0.076185161;0.010723865;0.010723865;0.002166062
2052.5;0.421192468;0.480725379;0.309630167;0.544068044
2053;1.027349608;1.511883361;1.129367596;1.007320953
2053.5;0.939144699;1.383366483;1.129367596;1.007320953
2054;0.265171723;0.138302698;0.021189299;0.002166062
2054.5;0.085201355;0.096910013;0.021189299;0.002166062
2055;0.064364381;0;0.010723865;0.002166062
2055.5;0.049121071;0.088136089;0.010723865;0.002166062
2056;0.057380791;0.06069784;0.010723865;0.002166062
2056.5;0.14504094;0.284430734;0.010723865;0.002166062
2057;0.500030534;1.029383778;0.103803721;0.002166062
2057.5;0.084039781;0.122215878;0.010723865;0.002166062
2058;0.049314953;0.021189299;0.010723865;0.002166062
2058.5;0.098643726;0.176091259;0.010723865;0.002166062
2059;0.059752694;0;0.064457989;0.002166062
2059.5;0.186603222;0.2955671;0.064457989;0.002166062
2060;0.067442843;0;0.010723865;0.002166062
2060.5;0.12515583;0.122215878;0.010723865;0.002166062
2061;0.053462605;0.021189299;0.010723865;0.002166062
2061.5;0.044343735;0.021189299;0.010723865;0.002166062
2062;0.283301229;0.607455023;0.113943352;0.033423755
2062.5;0.12499302;0.249198357;0.010723865;0.002166062
2063;0.113525561;0.138302698;0.010723865;0.002166062
2063.5;0.146748014;0.375663614;0.010723865;0.002166062
2064;0.109578547;0.088136089;0.010723865;0.002166062
2064.5;0.096910013;0;0.010723865;0.002166062
2065;0.142780405;0.210853365;0.010723865;0.002166062
2065.5;0.194653072;0.16879202;0.010723865;0.002166062
2066;0.157607853;0.138302698;0.010723865;0.002166062
2066.5;0.180914004;0.088136089;0.010723865;0.002166062
2067;0.191031609;0.161368002;0.010723865;0.002166062
2067.5;0.180340961;0.031408464;0.010723865;0.002166062
2068;0.182200591;0.051152522;0.010723865;0.002166062
2068.5;0.111934276;0.138302698;0.010723865;0.002166062
2069;0.194999703;0.204119983;0.010723865;0.002166062
2069.5;0.252185306;0.505149978;0.136720567;0.029383778
2070;0.271434991;0.322219295;0.136720567;0.029383778
2070.5;0.294135419;0.356981401;0.117271296;0.008600172
2071;0.358410786;0.540954809;0.204119983;0.021189299
2071.5;0.301409837;0.337459261;0.204119983;0.021189299
2072;0.298962182;0.249198357;0.086359831;0.037426498
2072.5;0.331072832;0.922984816;0.086359831;0.037426498
2073;0.54499768;0.726319612;0.1430148;0.06069784
2073.5;0.48440662;0.694605199;0.1430148;0.06069784
2074;0.31874139;0.511883361;0.413299764;0.338456494
2074.5;0.607723024;0.855821905;0.413299764;0.338456494
2075;0.495197318;0.51851394;0.352182518;0.649334859
2075.5;0.63873878;0.962606073;0.352182518;0.649334859
2076;0.632204133;0.873611197;0.149219113;0.004321374
2076.5;0.359835482;0.322219295;0.149219113;0.004321374
2077;0.433369747;0.393575203;0.071882007;0.002166062
2077.5;0.763427994;1.029383778;0.071882007;0.002166062
2078;1.176091259;1.551449998;0.701567985;0.820857989
2078.5;0.551449998;1.055951405;0.701567985;0.820857989
2079;0.777426822;1.156851901;0.161368002;0.562292864
2079.5;0.324436798;0.371067862;0.025305865;0.424881637
2080;0.269979677;0.62838893;0.025305865;0.424881637
2080.5;0.205068964;0.278753601;0.068185862;0.432969291
2081;0.434608819;0.615423953;0.049218023;0.568201724
2081.5;1.135450699;1.753583059;0.049218023;0.568201724
2082;1.15873932;1.677150521;0.404833717;0.657055853
2082.5;2.18610838;2.081887139;0.404833717;0.657055853
2083;1.305190092;1.552059534;0.359835482;0.385606274
2083.5;0.735798438;1.058805487;0.359835482;0.385606274
2084;0.476759192;0.261262869;0.484299839;0.294466226
2084.5;0.871426979;1.215505378;0.093421685;0.285557309
2085;0.656577291;0.795880017;0.093421685;0.285557309
2085.5;1.086715664;1.49762065;0.195899652;1.011570444
2086;0.46686762;0.393575203;0.851258349;0.695481676
2086.5;1.39880773;1.927242006;0.851258349;0.695481676
2087;0.484299839;0.33243846;0.173186268;0.002166062
2087.5;0.234517284;0;0.173186268;0.002166062
2088;0.42975228;0.273001272;0.041392685;0.002166062
2088.5;0.797267541;1.072801149;0.041392685;0.002166062
2089;0.610127613;0.591064607;0.010723865;0.002166062
2089.5;1.400494817;1.326847699;0.010723865;0.002166062
2090;1.30701441;1.285557309;0.041392685;0.002166062
2090.5;0.946329427;0.734399743;0.041392685;0.002166062
2091;0.468716472;0.515211304;0.230448921;0.004321374
2091.5;0.499687083;0.761551989;0.230448921;0.004321374
2092;1.000217093;1.390493527;0.986771734;0.705863712
2092.5;0.937267072;1.287241711;0.986771734;0.705863712
2093;0.237480902;0.311753861;0.46686762;0.008600172
2093.5;0.580924976;0.877946952;0.46686762;0.008600172
2094;0.399457385;0.604765885;0.540329475;0.206825876
2094.5;0.338356873;0.347330015;0.540329475;0.206825876
2095;0.432568465;0.423245874;0.010723865;0.002166062
2095.5;0.210519164;0.352182518;0.010723865;0.002166062
2096;0.300758477;0.384711743;0.010723865;0.002166062
2096.5;0.48036631;0.540954809;0.010723865;0.002166062
2097;0.464638559;0.728353782;0.656098202;0.004321374
2097.5;1.463146137;1.354108439;0.656098202;0.004321374
